"Element","h_index","g_index","m_index","TC","NP","PY_start"
"CANNESSON M","7","10","1.167","185","10","2019"
"LEE H-C","7","13","1.000","414","13","2018"
"LEUNG FW","7","8","0.636","306","8","2014"
"WANG Y","7","11","1.000","152","20","2018"
"LIU J","6","12","1.000","159","17","2019"
"ZHANG J","6","12","1.200","154","19","2020"
"AVIDAN MS","5","7","0.714","209","7","2018"
"FAN S-Z","5","6","0.455","87","6","2014"
"JUNG C-W","5","7","0.714","241","7","2018"
"LEE J","5","5","0.714","83","5","2018"
"LIU Y","5","7","0.714","50","10","2018"
"NAGARAJ SB","5","5","0.556","102","5","2016"
"NAIR BG","5","7","0.417","116","7","2013"
"SHIEH J-S","5","6","0.455","87","6","2014"
"WANG H","5","9","0.455","141","9","2014"
"WANG S","5","7","1.000","54","7","2020"
"YANG F","5","6","0.714","97","6","2018"
"ZHANG L","5","8","0.500","64","8","2015"
"ZHANG Z","5","8","1.250","66","9","2021"
"ABBOD MF","4","5","0.667","78","5","2019"
"BELLINI V","4","9","0.800","92","9","2020"
"BIGNAMI E","4","7","0.800","88","7","2020"
"BONHOMME V","4","4","0.444","99","4","2016"
"BOWNESS JS","4","4","1.333","54","4","2022"
"BROWN EN","4","4","0.500","34","4","2017"
"BURCKETT-ST LAURENT D","4","4","1.333","54","4","2022"
"CADONI S","4","4","0.400","176","4","2015"
"CASCELLA M","4","6","1.333","45","8","2022"
"CHEN X","4","6","0.571","49","15","2018"
"CHEN Y","4","10","0.571","111","14","2018"
"DELBOS A","4","4","0.444","87","4","2016"
"FORSYTHE B","4","6","1.000","44","6","2021"
"GABRIEL RA","4","5","0.667","61","5","2019"
"GEERTS BF","4","5","0.667","308","5","2019"
"HAFIANE A","4","5","0.444","87","5","2016"
"HE Y","4","9","0.571","97","10","2018"
"HIGHAM H","4","4","1.333","54","4","2022"
"HOFER I","4","4","0.667","121","4","2019"
"HOLLMANN MW","4","4","0.333","288","4","2013"
"HORIBE M","4","6","0.333","1002","6","2013"
"HSIEH Y-H","4","4","0.364","169","4","2014"
"HUANG X","4","6","0.667","175","6","2019"
"JR","4","5","0.571","52","5","2018"
"KANG AR","4","4","0.667","84","4","2019"
"KHETERPAL S","4","5","0.500","72","5","2017"
"KING CR","4","4","0.667","170","4","2019"
"KLEMT C","4","4","1.333","46","4","2022"
"KOO M","4","4","0.364","169","4","2014"
"KWON Y-M","4","4","1.333","46","4","2022"
"LAUREYS S","4","5","0.444","115","5","2016"
"LAVOIE-GAGNE O","4","4","1.000","41","4","2021"
"LEE C","4","5","0.667","98","5","2019"
"LEE M","4","5","0.667","104","5","2019"
"LI D","4","6","0.500","130","6","2017"
"LI X","4","9","0.667","91","10","2019"
"LIU H","4","7","1.333","54","8","2022"
"LIU X","4","6","0.800","46","8","2020"
"LIU Z","4","8","0.333","77","8","2013"
"LU Y","4","7","1.000","55","12","2021"
"MAHAJAN A","4","4","0.500","131","4","2017"
"NEWMAN S-F","4","4","0.333","1013","4","2013"
"NOBLE JA","4","4","1.333","54","4","2022"
"PARK SY","4","5","0.800","75","5","2020"
"PURDON PL","4","5","0.444","63","5","2016"
"SAUGEL B","4","5","0.667","68","5","2019"
"SIMPAO AF","4","5","0.500","76","5","2017"
"STRUYS MMRF","4","5","0.667","44","5","2019"
"VIEYRES P","4","4","0.444","87","4","2016"
"WANG B","4","4","1.000","78","4","2021"
"WANG J","4","11","0.571","174","11","2018"
"WANG Q","4","6","0.800","40","6","2020"
"WANG X","4","7","0.364","63","14","2014"
"WANG Z","4","7","0.667","63","7","2019"
"YEO I","4","4","1.333","46","4","2022"
"ZHANG X","4","8","0.571","78","12","2018"
"ZHANG Y","4","9","0.444","97","9","2016"
"ZHOU DW","4","4","0.444","81","4","2016"
"ABOLMAESUMI P","3","4","0.300","129","4","2015"
"ABRAHAM J","3","6","0.600","117","6","2020"
"AHUMADA L","3","3","0.375","51","3","2017"
"AKEJU O","3","5","0.375","62","5","2017"
"ANDERSON TA","3","3","0.333","38","3","2016"
"ANTONELLI M","3","3","0.333","101","3","2016"
"BAHADOR N","3","3","0.750","13","3","2021"
"BALDI P","3","4","0.500","90","4","2019"
"BANERJEE T","3","4","0.429","58","4","2018"
"BIGNAMI EG","3","3","1.500","11","5","2023"
"BISHARA A","3","4","1.000","35","4","2022"
"CHEN C","3","7","0.750","62","7","2021"
"CHEN G","3","3","1.000","13","5","2022"
"CHEN L","3","5","0.429","41","5","2018"
"COLUCCIA S","3","3","1.000","22","3","2022"
"COMPAGNONE C","3","4","1.000","19","4","2022"
"CUOMO A","3","3","1.000","22","3","2022"
"DEMERTZI A","3","3","0.333","82","3","2016"
"DRAISCI G","3","3","1.000","34","3","2022"
"FENG Y","3","6","0.750","40","6","2021"
"FONG CT","3","4","0.500","40","4","2019"
"FRITZ BA","3","3","0.429","93","3","2018"
"GALLITTU P","3","3","0.300","114","3","2015"
"GOSSERIES O","3","3","0.333","69","3","2016"
"GREGORY S","3","3","0.429","39","3","2018"
"GUNKA V","3","3","0.300","83","3","2015"
"HEI Z","3","3","0.750","60","3","2021"
"HU Y","3","6","0.333","37","6","2016"
"HUANG C","3","3","0.333","47","3","2016"
"HUANG J","3","4","0.600","29","4","2020"
"HUANG Y","3","6","0.600","96","6","2020"
"JEONG Y-S","3","4","0.500","49","4","2019"
"JIANG X","3","3","0.500","119","3","2019"
"JOKELAINEN J","3","3","0.750","13","3","2021"
"JUNG W","3","3","0.500","73","3","2019"
"KIM H","3","4","0.750","24","4","2021"
"KIM SH","3","4","0.500","75","4","2019"
"KORTELAINEN J","3","3","0.750","13","4","2021"
"KRYCH AJ","3","4","0.750","39","4","2021"
"LEE H","3","5","0.600","52","5","2020"
"LEE S","3","3","0.500","43","3","2019"
"LI J","3","5","0.750","31","9","2021"
"LI R","3","3","0.750","18","3","2021"
"LI S","3","6","0.300","118","6","2015"
"LI Y","3","8","0.600","80","18","2020"
"LI Z","3","6","0.600","43","10","2020"
"MAHESHWARI K","3","3","0.500","63","3","2019"
"MASHOUR GA","3","3","0.429","56","3","2018"
"MATAVA C","3","3","0.600","66","3","2020"
"MATHIS MR","3","3","0.429","64","3","2018"
"MCCLAIN LM","3","3","0.333","72","3","2016"
"MEMTSOUDIS SG","3","5","0.333","36","5","2016"
"MUSTOLA S","3","4","0.750","33","4","2021"
"NAIR AA","3","3","0.500","26","3","2019"
"NOIRHOMME Q","3","3","0.333","56","3","2016"
"PAN Y","3","6","0.300","36","6","2015"
"REBOSO JA","3","3","0.375","50","3","2017"
"ROHLING R","3","3","0.375","85","3","2017"
"RYU H-G","3","3","0.429","227","3","2018"
"SCHEEREN TWL","3","3","0.500","98","3","2019"
"SCHEINKER D","3","3","0.500","100","3","2019"
"SCHENK J","3","3","0.500","274","3","2019"
"SCHWID HA","3","3","0.250","73","3","2013"
"SESSLER DI","3","4","0.375","60","4","2017"
"SHAH N","3","4","0.429","63","4","2018"
"TSENG C-W","3","3","0.375","83","3","2017"
"VEELO DP","3","4","0.500","277","4","2019"
"VLAAR AP","3","3","0.500","274","3","2019"
"WANDERER JP","3","3","0.300","74","3","2015"
"WANG E","3","3","0.429","15","3","2018"
"WANG G","3","4","0.375","23","6","2017"
"WANG L","3","7","0.300","50","7","2015"
"WESTOVER MB","3","6","0.333","103","6","2016"
"WIJNBERGE M","3","3","0.500","274","3","2019"
"WILDES T","3","4","0.600","108","4","2020"
"WOO J","3","3","0.600","70","3","2020"
"WU Y","3","4","0.750","22","5","2021"
"XIAO L","3","5","0.375","39","5","2017"
"XU Y","3","5","0.600","67","5","2020"
"YANG D","3","3","0.750","78","3","2021"
"YOON H-K","3","5","0.429","144","5","2018"
"ZHANG G","3","3","0.500","11","3","2019"
"ZHANG M","3","3","0.500","69","3","2019"
"ZHAO Q","3","6","0.600","67","6","2020"
"ZHAO Y","3","3","0.750","14","6","2021"
"ZHONG H","3","4","0.750","40","4","2021"
"ZHOU S","3","4","0.600","67","4","2020"
"ZHOU Y","3","6","0.600","38","7","2020"
"ACAR B","2","2","0.167","6","2","2013"
"AIASSA S","2","2","0.500","12","2","2021"
"ALEXANDER JC","2","2","0.286","35","2","2018"
"ALKHATIB M","2","2","0.286","33","2","2018"
"AMORIM E","2","2","0.500","54","2","2021"
"ANNEN J","2","2","0.500","59","2","2021"
"ARAÚJO P","2","2","0.182","12","2","2014"
"ARNAY R","2","2","0.400","21","2","2020"
"ARVIND V","2","2","0.286","116","2","2018"
"BAI Y","2","3","0.400","14","3","2020"
"BALZER F","2","2","0.400","8","2","2020"
"BARBIERI R","2","2","0.250","27","2","2017"
"BEHARA L","2","2","0.333","23","2","2019"
"BEN ABDALLAH A","2","3","0.286","85","3","2018"
"BERDE CB","2","2","0.333","39","2","2019"
"BISWAL S","2","2","0.222","47","2","2016"
"BLAIN-MORAES S","2","2","0.286","31","2","2018"
"BLET A","2","2","0.400","33","2","2020"
"BLOBNER M","2","2","0.400","6","2","2020"
"BOLY M","2","2","0.222","65","2","2016"
"BRUSCHETTINI M","2","2","0.500","13","2","2021"
"BURNS M","2","3","0.400","37","3","2020"
"BURNS ML","2","2","0.400","26","2","2020"
"BYRNE MF","2","2","0.667","10","2","2022"
"CAI N","2","2","0.667","5","2","2022"
"CALDERON M-D","2","2","0.400","33","2","2020"
"CALVO-ROLLE JL","2","2","0.400","21","2","2020"
"CAMP CL","2","3","0.667","11","4","2022"
"CAO L","2","3","0.667","9","3","2022"
"CARRARA S","2","2","0.500","12","2","2021"
"CATARCI S","2","2","0.667","29","2","2022"
"CELI LA","2","2","0.333","57","2","2019"
"CHAE D","2","2","0.400","15","2","2020"
"CHAKRAVARTY S","2","2","0.500","17","2","2021"
"CHAMADIA S","2","2","0.400","11","2","2020"
"CHEN D","2","4","0.400","74","4","2020"
"CHEN M","2","3","0.667","15","5","2022"
"CHEN P-F","2","2","0.500","8","2","2021"
"CHEN W","2","4","0.400","22","4","2020"
"CHERIFA M","2","2","0.400","33","2","2020"
"CHIRICO A","2","2","0.333","20","2","2019"
"CHIU C","2","2","0.667","28","2","2022"
"CHO SK","2","3","0.286","116","3","2018"
"CHO Y-J","2","2","0.500","22","2","2021"
"CHOI Y","2","2","0.667","16","2","2022"
"CIPRESSO P","2","2","0.333","20","2","2019"
"CLIFFORD GD","2","2","0.400","62","2","2020"
"COHEN-LEVY WB","2","2","0.667","13","2","2022"
"COHN MR","2","2","0.500","22","2","2021"
"CONTI G","2","2","0.222","91","2","2016"
"COSTA R","2","2","0.222","91","2","2016"
"COZOWICZ C","2","2","0.286","6","2","2018"
"DAVIS KD","2","2","0.333","41","2","2019"
"DE GRAAFF JC","2","2","0.286","18","2","2018"
"DECO G","2","2","0.500","40","2","2021"
"DEGERLI S","2","2","0.167","6","2","2013"
"DEMARCHI D","2","2","0.500","12","2","2021"
"DENG X","2","2","0.333","12","2","2019"
"DI LERNIA D","2","2","0.333","20","2","2019"
"DOUGLAS VC","2","2","0.500","32","2","2021"
"DREWES AM","2","2","0.250","41","2","2017"
"DUBOST C","2","2","0.333","5","2","2019"
"DUTT N","2","2","0.400","33","2","2020"
"EDWARDS M","2","2","0.333","78","2","2019"
"EHRENFELD JM","2","2","0.200","44","2","2015"
"ERDEM G","2","2","1.000","5","2","2023"
"ERMIŞ Y","2","2","1.000","5","2","2023"
"ERRIU M","2","2","0.200","96","2","2015"
"ESCOBAR A","2","2","0.500","8","2","2021"
"ESPOSITO JG","2","2","0.667","33","2","2022"
"FALT P","2","2","0.200","72","2","2015"
"FAN L","2","2","0.250","15","2","2017"
"FAN W","2","2","0.667","9","2","2022"
"FERRONE G","2","2","0.222","91","2","2016"
"FRASSANITO L","2","2","0.667","29","2","2022"
"FRENKEL G","2","2","0.167","18","2","2013"
"GABEL E","2","2","0.333","81","2","2019"
"GADDI AV","2","2","0.667","13","2","2022"
"GAGGIOLI A","2","2","0.333","20","2","2019"
"GARWOOD IC","2","2","0.500","17","2","2021"
"GEE MS","2","2","0.400","69","2","2020"
"GHASSEMI MM","2","2","0.500","54","2","2021"
"GIURI PP","2","2","0.667","29","2","2022"
"GONZALEZ DELLA VALLE A","2","2","0.500","25","2","2021"
"GONZALEZ-CAVA JM","2","2","0.400","21","2","2020"
"GRAM M","2","2","0.250","41","2","2017"
"GREEN M","2","2","0.250","24","2","2017"
"GROCOTT MPW","2","2","0.333","51","2","2019"
"GU A","2","2","0.500","39","2","2021"
"GUO R","2","2","0.500","8","4","2021"
"GUO X","2","4","0.200","32","4","2015"
"GÁLVEZ JA","2","2","0.250","39","2","2017"
"HADDAD WM","2","2","0.333","29","2","2019"
"HADJERCI O","2","2","0.222","54","2","2016"
"HAMAMOTO S","2","2","0.400","16","2","2020"
"HAOZOUS EA","2","2","0.167","14","2","2013"
"HARVEY MJ","2","2","0.667","33","2","2022"
"HASSAN C","2","3","0.286","71","3","2018"
"HENRICHS B","2","2","0.400","11","2","2020"
"HERNANDEZ-BOUSSARD T","2","3","0.333","52","3","2019"
"HERNANDEZ-MEZA G","2","2","0.250","24","2","2017"
"HETHERINGTON J","2","2","0.250","63","2","2017"
"HOL L","2","2","0.400","259","2","2020"
"HOLCMAN D","2","2","0.333","33","2","2019"
"HORASANLI E","2","2","0.167","6","2","2013"
"HU C-T","2","2","0.250","77","2","2017"
"HU Q","2","2","0.667","6","2","2022"
"HU X","2","5","0.167","88","5","2013"
"HUANG G","2","2","0.667","10","2","2022"
"HUANG L","2","4","0.400","65","4","2020"
"HUANG P","2","2","0.400","5","2","2020"
"HUANG Z","2","4","0.400","31","4","2020"
"HUDETZ AG","2","2","0.400","36","2","2020"
"HUMBERT P","2","2","0.333","5","2","2019"
"IZZETOGLU K","2","2","0.250","24","2","2017"
"IZZETOGLU M","2","2","0.250","24","2","2017"
"JAIMES C","2","2","0.400","69","2","2020"
"JALALI A","2","3","0.222","32","3","2016"
"JEONG H-G","2","2","0.500","21","2","2021"
"JIANG H","2","5","0.400","29","6","2020"
"JIAO J","2","2","0.400","23","2","2020"
"JING Y","2","2","0.667","10","2","2022"
"JOHNSON J","2","2","0.667","38","2","2022"
"JOO H","2","2","0.400","23","2","2020"
"JUNGWIRTH B","2","2","0.400","8","3","2020"
"KAGERBAUER S","2","2","0.400","6","2","2020"
"KALRA S","2","2","0.182","51","2","2014"
"KANG J","2","3","0.500","20","3","2021"
"KANNAMPALLIL T","2","4","0.500","100","4","2021"
"KANNAMPALLIL TG","2","2","0.400","11","2","2020"
"KATO T","2","2","0.400","16","2","2020"
"KENDALE S","2","2","0.286","178","2","2018"
"KHAN FH","2","3","0.333","67","3","2019"
"KIM H-S","2","2","1.000","5","3","2023"
"KIM J","2","6","0.286","954","6","2018"
"KIM JH","2","3","0.500","19","3","2021"
"KIM JS","2","3","0.286","116","3","2018"
"KIM SY","2","2","0.667","17","2","2022"
"KIM TK","2","2","0.286","141","2","2018"
"KIM WH","2","2","0.286","253","2","2018"
"KIM Y-J","2","3","0.667","23","3","2022"
"KONG Y","2","2","0.500","22","2","2021"
"KOO BS","2","2","0.333","16","2","2019"
"KOUZ K","2","3","0.333","34","3","2019"
"KRINGELBACH M","2","2","0.500","40","2","2021"
"KRONZER A","2","3","0.286","85","3","2018"
"KULKARNI P","2","2","0.286","157","2","2018"
"LANG JD","2","2","0.400","37","2","2020"
"LANZA R","2","3","0.667","15","3","2022"
"LEE KH","2","2","0.286","136","2","2018"
"LEE S-W","2","3","0.667","43","3","2022"
"LESSOWAY V","2","2","0.250","106","2","2017"
"LEÓN A","2","2","0.400","21","2","2020"
"LI G","2","4","0.400","16","5","2020"
"LI L","2","3","0.667","14","5","2022"
"LI M","2","2","0.222","7","4","2016"
"LI Q","2","2","0.667","5","3","2022"
"LI SQ","2","2","0.286","27","2","2018"
"LI T","2","3","0.500","9","3","2021"
"LIANG Z","2","3","0.333","25","3","2019"
"LIGGI M","2","2","0.200","72","2","2015"
"LILJEBERG P","2","2","0.400","33","2","2020"
"LIU C","2","5","0.286","26","5","2018"
"LIU F","2","4","0.286","23","4","2018"
"LIU N","2","3","0.222","19","3","2016"
"LIU Q","2","3","0.333","50","3","2019"
"LONSDALE H","2","3","0.500","23","3","2021"
"LUEDERS I","2","2","0.182","38","2","2014"
"LUO F","2","2","0.222","8","4","2016"
"LUO H","2","2","0.200","29","2","2015"
"LV Q","2","3","0.667","10","3","2022"
"LÖTSCH J","2","2","0.167","43","2","2013"
"MACFARLANE AJR","2","2","1.000","16","2","2023"
"MADANU R","2","2","0.500","28","2","2021"
"MANCHIKANTI L","2","2","0.667","13","2","2022"
"MANTOVANI F","2","2","0.333","20","2","2019"
"MAO JJ","2","2","0.167","95","2","2013"
"MARGETTS S","2","2","1.000","28","2","2023"
"MARIANO ER","2","2","0.500","22","2","2021"
"MARTÍN M","2","2","0.400","21","2","2020"
"MATAVA CT","2","2","0.400","9","2","2020"
"MATSUI H","2","2","0.500","61","2","2021"
"MCLEOD GA","2","3","0.222","40","3","2016"
"MENDEZ-PEREZ JA","2","2","0.400","21","2","2020"
"MENG A","2","2","0.500","11","2","2021"
"MESCHEDE-KRASA B","2","2","0.500","21","2","2021"
"MEYBOHM P","2","2","0.500","5","3","2021"
"MONACO F","2","2","0.667","17","2","2022"
"MORDONINI M","2","2","0.400","59","2","2020"
"MULDER MP","2","2","0.333","253","2","2019"
"NAEINI EK","2","2","0.400","33","2","2020"
"NAIR B","2","3","0.286","947","3","2018"
"NAJARIAN K","2","2","0.286","56","2","2018"
"NAKAMURA R","2","2","0.500","9","2","2021"
"NELSON AM","2","2","0.400","33","2","2020"
"NERADILEK MB","2","2","0.222","42","2","2016"
"OKADA A","2","2","0.400","16","2","2020"
"OWEN AM","2","2","0.222","52","2","2016"
"PALLAVICINI C","2","2","0.500","40","2","2021"
"PAN C","2","2","0.667","9","2","2022"
"PANDA R","2","2","0.500","59","2","2021"
"PANKIV E","2","2","0.400","61","2","2020"
"PAREEK A","2","3","0.500","21","3","2021"
"PARK H-P","2","2","0.500","15","2","2021"
"PARK K","2","3","0.500","16","3","2021"
"PARK Y","2","2","0.333","42","2","2019"
"PAWA A","2","2","1.000","20","2","2023"
"PELOSI P","2","3","0.667","13","3","2022"
"PENG X","2","2","0.667","7","2","2022"
"PERL YS","2","2","0.500","40","2","2021"
"PESTEIE M","2","2","0.200","66","2","2015"
"PETERSON GN","2","2","0.167","62","2","2013"
"PIERSANTI A","2","2","0.667","29","2","2022"
"PINSKY MR","2","2","0.333","39","2","2019"
"PIRRACCHIO R","2","3","0.400","35","3","2020"
"POERAN J","2","2","0.500","25","2","2021"
"POLITI M","2","2","0.400","11","2","2020"
"POMBO N","2","2","0.182","12","2","2014"
"RAHMANI AM","2","2","0.400","33","2","2020"
"RAJARAM K","2","2","0.250","77","2","2017"
"RAMASWAMY SM","2","3","0.333","31","3","2019"
"REHMAN M","2","2","0.222","22","2","2016"
"REHMAN MA","2","3","0.250","41","3","2017"
"REPICI A","2","3","0.286","71","3","2018"
"RESCHE-RIGON M","2","2","0.400","33","2","2020"
"RINEHART J","2","3","0.333","38","3","2019"
"RIVA EFM","2","2","0.333","20","2","2019"
"RIVA G","2","2","0.333","20","2","2019"
"ROBINSON MG","2","2","0.667","29","2","2022"
"ROHLING RN","2","2","0.200","66","2","2015"
"SAADEH W","2","3","0.333","66","3","2019"
"SAAGER L","2","2","0.400","10","2","2020"
"SAHAP M","2","2","0.167","6","2","2013"
"SALANTERÄ S","2","2","0.400","33","2","2020"
"SCAMBIA G","2","2","0.667","24","2","2022"
"SCHALLER SJ","2","2","0.667","6","2","2022"
"SCHAMBERG G","2","2","0.500","21","2","2021"
"SHAH A","2","2","0.500","4","2","2021"
"SHAUKAT A","2","2","0.667","45","2","2022"
"SHEN J","2","3","0.400","30","3","2020"
"SIA ATH","2","2","0.200","70","2","2015"
"SIMPSON S","2","3","0.667","21","3","2022"
"SJODING MW","2","2","0.400","20","2","2020"
"SLEEP N","2","2","1.000","28","2","2023"
"SLEIGH JW","2","3","0.333","23","3","2019"
"SMAJSTRLA V","2","2","0.200","72","2","2015"
"SNG BL","2","2","0.200","70","2","2015"
"SODDU A","2","2","0.222","52","2","2016"
"SOIN A","2","2","0.667","13","2","2022"
"SONG BM","2","2","0.500","23","2","2021"
"SPIES C","2","2","0.400","8","3","2020"
"SPINAZZOLA G","2","2","0.222","91","2","2016"
"STAMM C","2","2","0.400","89","2","2020"
"STUNDNER O","2","2","0.222","7","2","2016"
"SUN H","2","3","0.333","30","3","2019"
"SUN S","2","3","0.500","10","3","2021"
"TAGLIAZUCCHI E","2","2","0.500","40","2","2021"
"TAGUCHI K","2","2","0.400","16","2","2020"
"TAN KK","2","2","0.200","70","2","2015"
"TAN X","2","2","0.400","34","2","2020"
"TANG Y","2","2","0.667","5","2","2022"
"TAYLOR A","2","2","1.000","20","2","2023"
"TERWINDT LE","2","2","0.333","253","2","2019"
"TIGHE PJ","2","2","0.333","15","2","2019"
"TULLY JL","2","2","0.667","13","2","2022"
"ULM B","2","2","0.400","6","2","2020"
"VALENTE M","2","3","0.667","27","3","2022"
"VAN CLEVE W","2","3","0.400","18","3","2020"
"VANHAUDENHUYSE A","2","2","0.222","52","2","2016"
"VASALAUSKAITE A","2","2","1.000","28","2","2023"
"VASSALLI F","2","2","0.667","29","2","2022"
"VAVILALA MS","2","3","0.286","947","3","2018"
"VAYATIS N","2","2","0.333","5","2","2019"
"VELAGAPUDI M","2","2","0.333","6","2","2019"
"VENIGANDLA R","2","2","0.333","23","2","2019"
"VERDONCK M","2","2","0.500","8","2","2021"
"VIANA J","2","2","0.182","12","2","2014"
"VIDAL P-P","2","2","0.333","5","2","2019"
"VINCENT J-L","2","2","0.333","57","2","2019"
"VITTORI A","2","2","1.000","8","3","2023"
"WANG C","2","3","0.500","12","3","2021"
"WANG D","2","6","0.400","53","6","2020"
"WANG W","2","2","0.500","9","2","2021"
"WATERMAN RS","2","2","0.667","13","2","2022"
"WEERINK MAS","2","3","0.333","31","3","2019"
"WIEDERHOLD BK","2","2","0.333","20","2","2019"
"WILBUR RR","2","2","0.500","23","2","2021"
"WOODWORTH G","2","2","0.667","38","2","2022"
"WU B","2","2","0.286","17","2","2018"
"WU CL","2","2","0.333","43","2","2019"
"WU L","2","5","0.400","69","5","2020"
"WU R","2","2","1.000","6","2","2023"
"WU S","2","3","0.500","14","5","2021"
"WU X","2","3","0.400","27","3","2020"
"WU Z","2","6","0.500","43","6","2021"
"XIA B","2","2","0.500","11","2","2021"
"XIANG Y","2","2","0.200","30","2","2015"
"XIAO G","2","2","1.000","7","2","2023"
"XIE Y","2","2","0.400","28","2","2020"
"XU F","2","3","0.400","10","4","2020"
"XU R","2","3","0.400","22","3","2020"
"XU T","2","4","0.333","19","4","2019"
"XU X","2","3","0.400","25","3","2020"
"YAN F","2","3","0.400","13","3","2020"
"YAN M","2","3","0.333","14","3","2019"
"YANG B","2","2","0.500","16","2","2021"
"YANG H","2","3","0.333","11","6","2019"
"YANG H-L","2","2","0.667","8","2","2022"
"YANG J","2","3","0.222","12","4","2016"
"YANG L","2","2","0.667","4","2","2022"
"YANG S","2","4","0.500","35","4","2021"
"YANG Y","2","5","0.333","30","6","2019"
"YAO Y","2","3","0.667","12","3","2022"
"YASUI T","2","2","0.400","16","2","2020"
"YOON SB","2","2","0.286","143","2","2018"
"YU H","2","4","0.400","68","4","2020"
"YU J","2","3","0.500","11","3","2021"
"ZACHAROWSKI K","2","2","0.500","6","4","2021"
"ZANFINI BA","2","2","0.667","29","2","2022"
"ZHANG B","2","2","0.667","6","3","2022"
"ZHANG C","2","4","0.400","21","4","2020"
"ZHANG F","2","2","0.667","9","5","2022"
"ZHANG H","2","5","0.167","27","5","2013"
"ZHANG Q","2","2","0.400","12","2","2020"
"ZHANG S","2","4","0.500","19","4","2021"
"ZHANG W","2","3","0.286","12","4","2018"
"ZHAO H","2","3","0.500","29","3","2021"
"ZHAO S","2","2","0.500","10","2","2021"
"ZHENG K","2","2","0.400","33","2","2020"
"ZHENG S","2","2","0.667","5","2","2022"
"ZHENG W-L","2","3","0.333","74","3","2019"
"ZHENG Y","2","2","0.667","6","2","2022"
"ZHOU J","2","4","0.500","28","4","2021"
"ZHOU M","2","2","0.667","8","4","2022"
"ZHU B","2","2","0.500","9","2","2021"
"ZHU J","2","3","0.500","11","3","2021"
"ZHU S","2","2","0.250","51","2","2017"
"ZHU T","2","2","0.667","8","3","2022"
"ZHU Y","2","3","0.167","9","3","2013"
"ÖZKAN D","2","2","1.000","5","2","2023"
"AALBERS AGJ","1","1","0.250","32","1","2021"
"AARONSON KD","1","1","0.200","18","1","2020"
"AARTS L","1","1","0.200","61","1","2020"
"AASDAHL L","1","1","0.250","4","1","2021"
"AASMAN B","1","1","0.500","3","1","2023"
"AASVANG EK","1","2","0.143","21","2","2018"
"ABALO R","1","1","0.125","3","1","2017"
"ABBOU B","1","1","0.333","8","1","2022"
"ABD EL-ALEEM SA","1","1","0.200","4","1","2020"
"ABD-ELGHANY MI","1","1","0.200","4","1","2020"
"ABDALLAH AB","1","1","0.200","8","1","2020"
"ABDEL-RAZEQ H","1","1","0.333","7","1","2022"
"ABDEL-RAZEQ N","1","1","0.333","7","1","2022"
"ABDELBADIE AS","1","1","0.333","11","1","2022"
"ABDELBASSET WK","1","1","0.333","10","1","2022"
"ABDUL NABI ALI A","1","1","0.333","1","1","2022"
"ABDULLAH JY","1","1","0.250","24","1","2021"
"ABDULLAH T","1","1","0.500","1","1","2023"
"ABDUS-SABOOR I","1","1","0.500","6","1","2023"
"ABEL JH","1","1","0.250","9","1","2021"
"ABEYASINGHE PM","1","1","0.125","16","1","2017"
"ABIN AA","1","1","0.333","2","1","2022"
"ABLYAZOVA F","1","1","0.500","1","1","2023"
"ABOUREHAB MAS","1","1","0.333","10","1","2022"
"ABRAHAM I","1","1","0.500","2","1","2023"
"ABRAIRA VE","1","1","0.500","6","1","2023"
"ABRAMS BA","1","1","0.333","2","1","2022"
"ABRAMS D","1","1","0.167","30","1","2019"
"ABRAMS DM","1","2","0.250","4","2","2021"
"ABSALOM AR","1","1","0.200","8","1","2020"
"ABUBAKAR H","1","1","0.143","15","1","2018"
"ABUHIJLA F","1","1","0.333","7","1","2022"
"ACHARYA Y","1","1","0.500","1","1","2023"
"ACHUFF B-J","1","1","0.167","8","1","2019"
"ADAMCZYK WM","1","1","0.250","14","1","2021"
"ADAMS T","1","1","0.143","940","1","2018"
"ADAO L","1","1","0.250","13","1","2021"
"ADAWI M","1","1","0.500","3","1","2023"
"ADEMUYIWA FO","1","1","0.333","47","1","2022"
"ADJALI N","1","1","0.250","10","1","2021"
"AELLEN FM","1","1","0.500","7","1","2023"
"AFRASIABI M","1","1","0.250","40","1","2021"
"AFSHAR S","1","1","0.250","35","1","2021"
"AFSHARI A","1","1","0.333","5","1","2022"
"AGADAGBA SK","1","1","0.333","6","1","2022"
"AGARWAL R","1","1","0.333","3","1","2022"
"AGARWAL S","1","1","0.250","7","1","2021"
"AGARWALLA A","1","1","0.167","54","1","2019"
"AGHAEEAVAL M","1","1","0.500","47","1","2023"
"AGHAEI A","1","1","0.333","2","1","2022"
"AGIBETOV A","1","1","0.500","1","1","2023"
"AGNEW HN","1","1","0.333","2","1","2022"
"AGRAWAL P","1","1","0.500","1","1","2023"
"AGUET C","1","1","0.500","3","1","2023"
"AGUILAR C","1","1","0.200","10","1","2020"
"AGUILAR K","1","1","0.200","10","1","2020"
"AGUIRRE-OSPINA OD","1","1","0.250","9","1","2021"
"AHLGREN B","1","1","0.250","3","2","2021"
"AHMAD W","1","1","0.500","5","1","2023"
"AHMADZADEH S","1","1","0.500","11","1","2023"
"AHMED FUA","1","1","0.333","11","1","2022"
"AHMED KAMAL M","1","1","0.500","11","1","2023"
"AHMED RS","1","1","0.500","2","1","2023"
