"Element","h_index","g_index","m_index","TC","NP","PY_start"
"SINHA C","1","1","0.333","8","1","2022"
"SINHA R","1","1","0.200","2","1","2020"
"SINKIN M","1","1","0.333","4","1","2022"
"SIRI A","1","1","0.500","3","1","2023"
"SITT J","1","1","0.250","30","1","2021"
"SIVAPERUMAL S","1","1","0.500","2","1","2023"
"SIVARAJU A","1","1","0.500","47","1","2023"
"SIZEMORE DC","1","1","0.500","3","1","2023"
"SKALNAYA A","1","1","0.333","4","1","2022"
"SKINNER JE","1","1","0.333","4","1","2022"
"SKLAR MC","1","1","0.250","7","1","2021"
"SKORPEN F","1","1","0.143","9","1","2018"
"SKRIPKINA PA","1","1","0.167","2","1","2019"
"SKROBIK Y","1","1","0.167","30","1","2019"
"SLAOUI Y","1","1","0.250","10","1","2021"
"SLOTTO JG","1","1","0.500","3","1","2023"
"SMANIA V","1","1","0.143","62","1","2018"
"SMEETS RJEM","1","1","0.500","1","1","2023"
"SMITH G","1","1","0.167","5","1","2019"
"SMITH KD","1","1","0.143","5","1","2018"
"SMITH NK","1","1","0.250","3","2","2021"
"SMITH RV","1","1","0.500","3","1","2023"
"SMITH V","1","1","0.333","3","1","2022"
"SMORODA A","1","1","0.333","2","1","2022"
"SMYTH MD","1","1","0.125","45","1","2017"
"SNEDDON LU","1","1","0.500","2","1","2023"
"SO JB-Y","1","1","0.200","29","1","2020"
"SO PTC","1","1","0.111","18","1","2016"
"SOAR J","1","1","0.200","86","1","2020"
"SOBRIE O","1","1","0.111","20","1","2016"
"SOBY S","1","1","0.500","3","1","2023"
"SOFFIN EM","1","1","0.167","39","1","2019"
"SOLA RG","1","1","0.167","11","1","2019"
"SOLANKI SL","1","1","0.250","6","1","2021"
"SOLDANI F","1","1","0.250","3","1","2021"
"SOLE-GUITART A","1","1","0.333","4","1","2022"
"SOLIMAN O","1","1","0.500","1","1","2023"
"SOLIMENE F","1","1","0.250","13","1","2021"
"SOLNTSEV V","1","1","0.091","1","1","2014"
"SOLOMON SC","1","1","0.200","17","1","2020"
"SOMERS SC","1","1","0.333","38","1","2022"
"SON C-H","1","1","0.200","4","1","2020"
"SON H-S","1","1","0.200","24","1","2020"
"SONG A-L","1","1","0.500","1","1","2023"
"SONG B","1","2","0.333","5","2","2022"
"SONG D","1","1","0.250","4","1","2021"
"SONG H","1","1","0.250","17","1","2021"
"SONG HJ","1","1","0.250","10","1","2021"
"SONG J-S","1","1","0.333","1","1","2022"
"SONG LJ","1","1","0.333","2","1","2022"
"SONG S","1","1","0.250","8","1","2021"
"SONG SY","1","2","0.200","4","2","2020"
"SONG XR","1","1","0.333","6","1","2022"
"SONNINO C","1","1","0.500","10","1","2023"
"SONNY A","1","1","0.125","37","1","2017"
"SOPKA S","1","1","0.143","6","1","2018"
"SOTO-GALINDO GA","1","1","0.500","1","1","2023"
"SOTTILE PD","1","1","0.143","44","1","2018"
"SOUTHERN D","1","1","0.333","7","1","2022"
"SOUZA ED","1","1","0.333","3","1","2022"
"SOVA R","1","1","0.333","6","1","2022"
"SPADACCINI M","1","1","0.333","7","1","2022"
"SPAHN DR","1","1","0.500","1","1","2023"
"SPAINHOUR S","1","1","0.200","2","1","2020"
"SPARLING JL","1","1","0.500","1","1","2023"
"SPENCE J","1","2","0.167","4","2","2019"
"SPIELMANN M","1","1","0.100","10","1","2015"
"SPINELLI A","1","1","0.500","2","1","2023"
"SPINNER J","1","1","0.333","7","1","2022"
"SPIRO M","1","1","0.333","2","1","2022"
"SPULECKI C","1","1","0.167","18","1","2019"
"ST JOHN SMITH E","1","1","0.500","6","1","2023"
"STABA RJ","1","1","0.167","5","1","2019"
"STABILE G","1","1","0.250","13","1","2021"
"STARING M","1","1","0.333","11","1","2022"
"STEAGALL PV","1","1","0.250","49","1","2021"
"STEELE KH","1","1","0.100","14","1","2015"
"STEENWYK BL","1","1","0.125","15","1","2017"
"STEIMER A","1","1","0.100","1","1","2015"
"STEITZ B","1","1","0.500","5","1","2023"
"STEMPEL KS","1","1","0.500","4","1","2023"
"STENBERG E","1","1","0.200","15","1","2020"
"STENDER J","1","1","0.125","16","1","2017"
"STENZINGER A","1","1","0.250","20","1","2021"
"STEVENS MF","1","1","0.083","14","1","2013"
"STEVENS RD","1","1","0.250","4","1","2021"
"STIB MT","1","1","0.500","4","1","2023"
"STICK S","1","1","0.500","2","1","2023"
"STIEGLITZ T","1","1","0.333","16","1","2022"
"STINGONE JA","1","1","0.250","5","1","2021"
"STIPPICH C","1","1","0.125","8","1","2017"
"STISH BJ","1","1","0.333","4","1","2022"
"STONE BJ","1","1","0.100","14","1","2015"
"STONE DJ","1","1","0.167","54","1","2019"
"STONE TAD","1","1","0.500","2","1","2023"
"STONER S","1","1","0.111","2","1","2016"
"STOOPS MA","1","1","0.111","22","1","2016"
"STRAND N","1","1","0.333","6","1","2022"
"STRAVODIMOS G","1","1","0.143","11","1","2018"
"STRICKER CT","1","1","0.083","75","1","2013"
"STRICKER PA","1","2","0.250","20","2","2021"
"STRINGER KA","1","1","0.333","2","1","2022"
"STRIPLIN D","1","1","0.111","18","1","2016"
"STRODTBECK W","1","1","0.500","3","1","2023"
"STROMBERG J","1","1","0.333","38","1","2022"
"STROTMEYER S","1","1","0.200","22","1","2020"
"STRUNK JD","1","1","0.500","3","1","2023"
"STRÄSSLE C","1","1","0.250","7","1","2021"
"STUDNEVA IM","1","1","0.091","45","1","2014"
"STUKOVSKY KDH","1","1","0.500","2","1","2023"
"STUMPNER J","1","1","0.250","2","1","2021"
"STUPAR V","1","1","0.250","7","1","2021"
"SU C-F","1","1","0.500","1","1","2023"
"SU Q","1","1","0.250","17","1","2021"
"SU S","1","1","0.500","2","1","2023"
"SUARDI D","1","1","0.333","11","1","2022"
"SUBAŠIĆ A","1","1","0.100","1","1","2015"
"SUBIH M","1","1","0.500","12","1","2023"
"SUBIRÀ C","1","1","0.167","30","1","2019"
"SUBRAMANIAM K","1","1","0.167","10","1","2019"
"SUBRAMANIAM SD","1","1","0.250","30","1","2021"
"SUH HS","1","1","0.333","8","1","2022"
"SUH J","1","1","0.333","12","1","2022"
"SUH K-S","1","1","0.143","124","1","2018"
"SUHRE W","1","1","0.200","11","1","2020"
"SUJINO T","1","1","0.250","19","1","2021"
"SUKHININ D","1","1","0.333","4","1","2022"
"SULLIVAN C","1","1","0.200","13","1","2020"
"SULTAN S","1","2","0.333","8","2","2022"
"SULTANA R","1","1","0.250","10","1","2021"
"SUMIYAMA K","1","1","0.250","57","1","2021"
"SUN C","1","1","0.333","3","2","2022"
"SUN F","1","1","0.143","2","1","2018"
"SUN M","1","1","0.500","13","1","2023"
"SUN QR","1","1","0.200","3","1","2020"
"SUN R","1","1","0.250","7","1","2021"
"SUN W","1","1","0.250","7","1","2021"
"SUN X","1","1","0.333","20","1","2022"
"SUN XW","1","1","0.250","7","1","2021"
"SUN Y","1","1","0.333","3","2","2022"
"SUN Y-Z","1","1","0.500","1","1","2023"
"SUN Z-L","1","1","0.333","7","1","2022"
"SUNDAR AS","1","1","0.500","3","1","2023"
"SUNDARAM AYM","1","1","0.333","6","1","2022"
"SUNDMACHER L","1","1","0.250","2","1","2021"
